#Measurement file		
#project	CMS endcap calorimeter	
#Sensor Type	LD	
#Sensor Geometry	Full	
#Thickness	300um	
#Process variant	p-stop: common; p-stop concentration: x1.0; typeC	
#ID	8-198-300F-L6-P5295-01-104857-0	
#Scratch PAD	|0001|0000|0100|1000|0101|0111|	
#Operator	HPK	
#Test Date	15-Jul-23	
#Ingot No.	-	
#Bad pads	none	
#Depletion voltage [V]	220	
#temperature [deg]	25	
#humidity [%]	40	
		
voltage [V]	pad nr.[-]	current [A]
0	0	1.92E-08
0	1	2.12E-06
0	2	1.81E-06
0	3	1.03E-06
0	4	7.11E-07
0	5	6.99E-07
0	6	1.06E-06
0	7	1.47E-06
0	8	1.63E-06
0	9	2.27E-06
0	10	1.73E-06
0	11	1.02E-06
0	12	5.53E-07
0	13	7.18E-07
0	14	2.84E-07
0	15	4.81E-07
0	16	7.72E-07
0	17	9.43E-07
0	18	1.33E-06
0	19	1.97E-06
0	20	1.55E-06
0	21	1.14E-06
0	22	6.16E-07
0	23	4E-07
0	24	3.63E-07
0	25	4.58E-07
0	26	6.07E-07
0	27	5.44E-07
0	28	7.4E-07
0	29	1.91E-06
0	30	1.41E-06
0	31	1.28E-06
0	32	8.13E-07
0	33	5.35E-07
0	34	4.33E-07
0	35	4.35E-07
0	36	5.17E-07
0	37	4.88E-07
0	38	3.81E-07
0	39	4.98E-07
0	40	1.91E-06
0	41	1.49E-06
0	42	1.35E-06
0	43	1.25E-06
0	44	8.71E-07
0	45	6.98E-07
0	46	6.01E-07
0	47	6.56E-07
0	48	6.74E-07
0	49	4.88E-07
0	50	3.87E-07
0	51	6.34E-07
0	52	2.09E-06
0	53	1.55E-06
0	54	1.37E-06
0	55	1.43E-06
0	56	1.28E-06
0	57	1.01E-06
0	58	8.91E-07
0	59	8.55E-07
0	60	9.07E-07
0	61	1.12E-06
0	62	4.28E-07
0	63	4.68E-07
0	64	3.78E-07
0	65	6.97E-07
0	66	2.3E-06
0	67	1.61E-06
0	68	1.34E-06
0	69	2.26E-06
0	70	8.66E-07
0	71	1.6E-06
0	72	1.36E-06
0	73	1.16E-06
0	74	1.03E-06
0	75	1.08E-06
0	76	1.01E-06
0	77	6.54E-07
0	78	4.37E-07
0	79	3.99E-07
0	80	8.36E-07
0	81	2.34E-06
0	82	1.54E-06
0	83	1.29E-06
0	84	1.31E-06
0	85	1.58E-06
0	86	1.53E-06
0	87	1.32E-06
0	88	1.12E-06
0	89	1.11E-06
0	90	1.19E-06
0	91	8.83E-07
0	92	5.55E-07
0	93	3.86E-07
0	94	3.99E-07
0	95	9.48E-07
0	96	2.04E-06
0	97	1.82E-06
0	98	1.24E-06
0	99	1.17E-06
0	100	1.46E-06
0	101	1.59E-06
0	102	1.49E-06
0	103	1.19E-06
0	104	1.07E-06
0	105	1.17E-06
0	106	1.04E-06
0	107	6.76E-07
0	108	4.16E-07
0	109	3.54E-07
0	110	5.41E-07
0	111	9.52E-07
0	112	1.94E-06
0	113	1.41E-06
0	114	1.09E-06
0	115	1.19E-06
0	116	1.46E-06
0	117	1.52E-06
0	118	1.27E-06
0	119	1.05E-06
0	120	1.03E-06
0	121	1.06E-06
0	122	8.93E-07
0	123	5.4E-07
0	124	4.14E-07
0	125	4.86E-07
0	126	9.19E-07
0	127	1.72E-06
0	128	1.34E-06
0	129	1.08E-06
0	130	1.23E-06
0	131	1.42E-06
0	132	1.29E-06
0	133	1.06E-06
0	134	9.03E-07
0	135	8.55E-07
0	136	8.21E-07
0	137	5.89E-07
0	138	4.21E-07
0	139	4.75E-07
0	140	7.2E-07
0	141	1.66E-06
0	142	1.94E-06
0	143	7.13E-07
0	144	1.01E-06
0	145	1.07E-06
0	146	1.05E-06
0	147	8.35E-07
0	148	7.24E-07
0	149	6.36E-07
0	150	6.01E-07
0	151	5.38E-07
0	152	4.07E-07
0	153	7.53E-07
0	154	2.88E-07
0	155	6.39E-07
0	156	1.61E-06
0	157	1.29E-06
0	158	9.79E-07
0	159	8.48E-07
0	160	7.15E-07
0	161	5.51E-07
0	162	8.04E-07
0	163	3.18E-07
0	164	4.46E-07
0	165	4.11E-07
0	166	3.84E-07
0	167	4.72E-07
0	168	6.19E-07
0	169	1.52E-06
0	170	1.22E-06
0	171	8.82E-07
0	172	6.26E-07
0	173	5.2E-07
0	174	4.46E-07
0	175	4.46E-07
0	176	4.62E-07
0	177	4.78E-07
0	178	5.8E-07
0	179	7.3E-07
0	180	1.74E-06
0	181	1.39E-06
0	182	8.61E-07
0	183	6.43E-07
0	184	4.68E-07
0	185	4.88E-07
0	186	5.57E-07
0	187	6.55E-07
0	188	7.89E-07
0	189	9.76E-07
0	190	1.95E-06
0	191	1.79E-06
0	192	1.23E-06
0	193	9.27E-07
0	194	7.88E-07
0	195	8.56E-07
0	196	1.07E-06
0	197	1.48E-06
0	198	1.45E-06
0	199	1.23E-05
100	0	1.68E-07
100	1	6.01E-10
100	2	6.25E-10
100	3	5.69E-10
100	4	5.56E-10
100	5	5.62E-10
100	6	6E-10
100	7	6.94E-10
100	8	6.44E-10
100	9	9.28E-10
100	10	7.48E-10
100	11	7.01E-10
100	12	6.8E-10
100	13	5.61E-10
100	14	1.56E-10
100	15	6.76E-10
100	16	6.81E-10
100	17	7.24E-10
100	18	8.99E-10
100	19	8.26E-10
100	20	6.82E-10
100	21	6.48E-10
100	22	6.19E-10
100	23	7.54E-10
100	24	6.11E-10
100	25	6.15E-10
100	26	6.25E-10
100	27	6.59E-10
100	28	7.31E-10
100	29	8.33E-10
100	30	6.4E-10
100	31	6.14E-10
100	32	5.99E-10
100	33	5.78E-10
100	34	5.72E-10
100	35	5.78E-10
100	36	5.76E-10
100	37	5.95E-10
100	38	6.27E-10
100	39	7.09E-10
100	40	8.84E-10
100	41	6.14E-10
100	42	6.08E-10
100	43	6.35E-10
100	44	7.3E-10
100	45	6.64E-10
100	46	5.52E-10
100	47	5.54E-10
100	48	5.57E-10
100	49	5.84E-10
100	50	5.97E-10
100	51	7.12E-10
100	52	8.53E-10
100	53	6.09E-10
100	54	6.02E-10
100	55	1.03E-09
100	56	2.55E-09
100	57	2.92E-09
100	58	9.17E-10
100	59	5.38E-10
100	60	5.23E-10
100	61	4.67E-10
100	62	1.4E-10
100	63	5.61E-10
100	64	5.86E-10
100	65	7.56E-10
100	66	8.12E-10
100	67	5.95E-10
100	68	5.59E-10
100	69	6.44E-10
100	70	1.71E-10
100	71	4.47E-09
100	72	1.38E-08
100	73	6.28E-09
100	74	6.33E-10
100	75	5.35E-10
100	76	5.39E-10
100	77	5.39E-10
100	78	5.63E-10
100	79	5.95E-10
100	80	7.66E-10
100	81	9.07E-10
100	82	5.92E-10
100	83	5.51E-10
100	84	5.59E-10
100	85	9.36E-10
100	86	3.97E-09
100	87	6.4E-09
100	88	8.34E-10
100	89	5.66E-10
100	90	5.58E-10
100	91	5.39E-10
100	92	5.34E-10
100	93	5.55E-10
100	94	5.73E-10
100	95	8.5E-10
100	96	5.66E-10
100	97	6.36E-10
100	98	5.66E-10
100	99	5.67E-10
100	100	5.55E-10
100	101	8.23E-10
100	102	7.28E-10
100	103	6.63E-10
100	104	5.74E-10
100	105	5.54E-10
100	106	7.74E-10
100	107	5.4E-10
100	108	5.39E-10
100	109	5.58E-10
100	110	6.11E-10
100	111	5.43E-10
100	112	6.27E-10
100	113	6.19E-10
100	114	5.58E-10
100	115	5.62E-10
100	116	5.69E-10
100	117	5.47E-10
100	118	5.8E-10
100	119	5.92E-10
100	120	5.49E-10
100	121	5.29E-10
100	122	5.31E-10
100	123	5.32E-10
100	124	5.3E-10
100	125	5.65E-10
100	126	5.41E-10
100	127	5.86E-10
100	128	6.18E-10
100	129	5.63E-10
100	130	6.25E-10
100	131	5.9E-10
100	132	5.38E-10
100	133	5.38E-10
100	134	5.33E-10
100	135	5.33E-10
100	136	5.31E-10
100	137	5.38E-10
100	138	5.44E-10
100	139	5.61E-10
100	140	4.85E-10
100	141	5.75E-10
100	142	5.28E-10
100	143	1.47E-10
100	144	5.85E-10
100	145	6.07E-10
100	146	5.64E-10
100	147	5.52E-10
100	148	5.36E-10
100	149	5.32E-10
100	150	5.36E-10
100	151	5.35E-10
100	152	5.41E-10
100	153	4.79E-10
100	154	1.35E-10
100	155	4.87E-10
100	156	5.87E-10
100	157	6.4E-10
100	158	5.95E-10
100	159	5.67E-10
100	160	5.92E-10
100	161	5.45E-10
100	162	4.7E-10
100	163	1.32E-10
100	164	5.44E-10
100	165	5.36E-10
100	166	5.49E-10
100	167	5.63E-10
100	168	4.94E-10
100	169	5.99E-10
100	170	6.81E-10
100	171	6.29E-10
100	172	5.87E-10
100	173	5.71E-10
100	174	5.65E-10
100	175	5.59E-10
100	176	5.54E-10
100	177	5.62E-10
100	178	5.81E-10
100	179	5.09E-10
100	180	6.53E-10
100	181	7.44E-10
100	182	6.76E-10
100	183	7.04E-10
100	184	6.08E-10
100	185	5.9E-10
100	186	6.93E-10
100	187	5.75E-10
100	188	6.22E-10
100	189	5.41E-10
100	190	6.57E-10
100	191	1.06E-09
100	192	8.75E-10
100	193	7.72E-10
100	194	7.13E-10
100	195	7.27E-10
100	196	7.09E-10
100	197	7.75E-10
100	198	5E-10
100	199	1.8E-08
200	0	2E-07
200	1	7.15E-10
200	2	7.53E-10
200	3	7.05E-10
200	4	6.76E-10
200	5	6.84E-10
200	6	7.34E-10
200	7	8.44E-10
200	8	7.68E-10
200	9	1.11E-09
200	10	8.9E-10
200	11	8.43E-10
200	12	8.24E-10
200	13	7.26E-10
200	14	2.06E-10
200	15	8.24E-10
200	16	8.34E-10
200	17	8.8E-10
200	18	1.08E-09
200	19	9.66E-10
200	20	8.11E-10
200	21	7.83E-10
200	22	7.65E-10
200	23	1.01E-09
200	24	7.48E-10
200	25	7.63E-10
200	26	7.62E-10
200	27	8.02E-10
200	28	8.99E-10
200	29	9.85E-10
200	30	7.66E-10
200	31	7.48E-10
200	32	7.26E-10
200	33	7.19E-10
200	34	7.04E-10
200	35	7.13E-10
200	36	7.11E-10
200	37	7.4E-10
200	38	7.79E-10
200	39	8.58E-10
200	40	1.04E-09
200	41	7.5E-10
200	42	7.35E-10
200	43	7.74E-10
200	44	8.9E-10
200	45	8.16E-10
200	46	6.99E-10
200	47	6.86E-10
200	48	7.04E-10
200	49	7.33E-10
200	50	7.48E-10
200	51	8.8E-10
200	52	1E-09
200	53	7.28E-10
200	54	7.32E-10
200	55	1.21E-09
200	56	2.93E-09
200	57	3.33E-09
200	58	1.1E-09
200	59	6.7E-10
200	60	6.55E-10
200	61	6.28E-10
200	62	1.74E-10
200	63	7.03E-10
200	64	7.39E-10
200	65	9.23E-10
200	66	9.59E-10
200	67	7.17E-10
200	68	6.92E-10
200	69	8.11E-10
200	70	2.13E-10
200	71	5.06E-09
200	72	1.55E-08
200	73	7.08E-09
200	74	7.7E-10
200	75	6.54E-10
200	76	6.66E-10
200	77	6.67E-10
200	78	6.99E-10
200	79	7.41E-10
200	80	9.3E-10
200	81	1.06E-09
200	82	7.19E-10
200	83	6.98E-10
200	84	6.95E-10
200	85	1.11E-09
200	86	4.51E-09
200	87	7.22E-09
200	88	1E-09
200	89	6.91E-10
200	90	6.84E-10
200	91	6.75E-10
200	92	6.72E-10
200	93	6.99E-10
200	94	7.26E-10
200	95	1.02E-09
200	96	6.76E-10
200	97	7.68E-10
200	98	6.99E-10
200	99	6.87E-10
200	100	6.89E-10
200	101	1.11E-09
200	102	8.73E-10
200	103	8E-10
200	104	7.02E-10
200	105	6.78E-10
200	106	1.11E-09
200	107	6.75E-10
200	108	6.81E-10
200	109	6.99E-10
200	110	7.57E-10
200	111	6.74E-10
200	112	7.48E-10
200	113	7.59E-10
200	114	6.92E-10
200	115	6.87E-10
200	116	6.94E-10
200	117	6.62E-10
200	118	7.02E-10
200	119	7.18E-10
200	120	6.66E-10
200	121	6.66E-10
200	122	6.74E-10
200	123	6.85E-10
200	124	6.87E-10
200	125	7.24E-10
200	126	6.84E-10
200	127	7.2E-10
200	128	7.52E-10
200	129	7.03E-10
200	130	7.51E-10
200	131	7.3E-10
200	132	6.62E-10
200	133	6.68E-10
200	134	6.57E-10
200	135	6.63E-10
200	136	6.65E-10
200	137	6.73E-10
200	138	6.85E-10
200	139	7.06E-10
200	140	6.14E-10
200	141	6.92E-10
200	142	6.74E-10
200	143	1.84E-10
200	144	7.17E-10
200	145	7.28E-10
200	146	6.94E-10
200	147	6.92E-10
200	148	6.63E-10
200	149	6.68E-10
200	150	6.63E-10
200	151	6.67E-10
200	152	6.8E-10
200	153	6.53E-10
200	154	1.8E-10
200	155	6.18E-10
200	156	7.06E-10
200	157	7.78E-10
200	158	7.3E-10
200	159	6.96E-10
200	160	7.26E-10
200	161	6.94E-10
200	162	6.38E-10
200	163	1.7E-10
200	164	6.92E-10
200	165	6.82E-10
200	166	6.92E-10
200	167	7.1E-10
200	168	6.28E-10
200	169	7.25E-10
200	170	8.3E-10
200	171	7.7E-10
200	172	7.36E-10
200	173	7.14E-10
200	174	7.01E-10
200	175	7.06E-10
200	176	6.89E-10
200	177	6.97E-10
200	178	7.23E-10
200	179	6.52E-10
200	180	7.83E-10
200	181	8.93E-10
200	182	8.22E-10
200	183	9.01E-10
200	184	7.45E-10
200	185	7.25E-10
200	186	9.27E-10
200	187	7.1E-10
200	188	8.02E-10
200	189	6.76E-10
200	190	7.8E-10
200	191	1.24E-09
200	192	1.04E-09
200	193	9.26E-10
200	194	8.66E-10
200	195	8.78E-10
200	196	8.53E-10
200	197	9.31E-10
200	198	6.08E-10
200	199	2.76E-08
300	0	2.43E-07
300	1	8.58E-10
300	2	9.18E-10
300	3	8.55E-10
300	4	8.34E-10
300	5	8.33E-10
300	6	8.9E-10
300	7	1E-09
300	8	9.05E-10
300	9	2.23E-09
300	10	1.08E-09
300	11	1.03E-09
300	12	9.92E-10
300	13	8.99E-10
300	14	2.67E-10
300	15	9.84E-10
300	16	1E-09
300	17	1.05E-09
300	18	1.27E-09
300	19	1.18E-09
300	20	9.97E-10
300	21	9.63E-10
300	22	9.24E-10
300	23	1.26E-09
300	24	9.01E-10
300	25	9.07E-10
300	26	9.2E-10
300	27	9.54E-10
300	28	1.07E-09
300	29	1.19E-09
300	30	9.43E-10
300	31	9.23E-10
300	32	8.96E-10
300	33	8.78E-10
300	34	8.52E-10
300	35	8.61E-10
300	36	8.56E-10
300	37	8.84E-10
300	38	9.09E-10
300	39	1.04E-09
300	40	1.24E-09
300	41	9.47E-10
300	42	9.3E-10
300	43	9.64E-10
300	44	1.08E-09
300	45	9.93E-10
300	46	8.62E-10
300	47	8.59E-10
300	48	8.64E-10
300	49	8.9E-10
300	50	9E-10
300	51	1.05E-09
300	52	1.22E-09
300	53	9.24E-10
300	54	9.16E-10
300	55	1.41E-09
300	56	3.19E-09
300	57	3.6E-09
300	58	1.28E-09
300	59	8.19E-10
300	60	8.15E-10
300	61	7.96E-10
300	62	2.45E-10
300	63	8.51E-10
300	64	8.88E-10
300	65	1.09E-09
300	66	1.17E-09
300	67	8.95E-10
300	68	8.61E-10
300	69	1E-09
300	70	2.78E-10
300	71	5.42E-09
300	72	1.63E-08
300	73	7.5E-09
300	74	9.41E-10
300	75	8.17E-10
300	76	8.22E-10
300	77	8.24E-10
300	78	8.41E-10
300	79	8.87E-10
300	80	1.11E-09
300	81	1.3E-09
300	82	9.18E-10
300	83	8.85E-10
300	84	8.93E-10
300	85	1.31E-09
300	86	4.86E-09
300	87	7.67E-09
300	88	1.2E-09
300	89	8.75E-10
300	90	8.64E-10
300	91	8.43E-10
300	92	8.28E-10
300	93	8.61E-10
300	94	8.84E-10
300	95	1.21E-09
300	96	8.17E-10
300	97	9.54E-10
300	98	8.83E-10
300	99	8.63E-10
300	100	8.65E-10
300	101	1.44E-09
300	102	1.07E-09
300	103	9.78E-10
300	104	8.71E-10
300	105	8.39E-10
300	106	1.45E-09
300	107	8.33E-10
300	108	8.3E-10
300	109	8.42E-10
300	110	9.07E-10
300	111	7.84E-10
300	112	9.06E-10
300	113	9.33E-10
300	114	8.68E-10
300	115	8.6E-10
